Country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Greece,59.46,58.88,57.00,58.54,62.17,61.88,61.21,62.75,65.04,67.79,70.83,73.79,76.29,76.78,77.19,75.30,75.31,75.73,74.52,75.60,74.88,73.94,74.17,73.48,71.48,68.77,63.46,61.88,61.92,64.13,64.75,67.48,66.94,68.06,71.08,71.88,66.96,69.75,68.29
Guatemala,40.92,38.92,38.46,39.38,41.08,42.54,45.25,48.29,54.25,56.21,58.38,61.42,64.38,67.76,71.38,68.27,70.02,70.83,67.52,67.40,70.04,70.58,70.17,69.48,66.79,66.13,66.98,67.19,67.79,67.75,66.75,67.69,70.08,69.60,71.17,72.35,70.27,70.08,71.25
Guinea,,,45.75,45.17,48.63,48.55,47.63,48.38,48.71,51.50,50.83,52.25,52.50,54.84,60.19,60.98,59.50,60.42,62.19,61.92,58.04,52.79,53.73,53.94,51.73,52.19,52.31,50.71,53.06,44.38,46.25,51.75,51.83,56.92,56.48,56.58,54.52,57.83,57.79
Guinea-Bissau,,,37.96,38.25,38.83,37.50,41.71,39.29,40.79,40.42,36.46,40.13,44.46,43.66,44.13,47.80,45.00,48.35,48.02,47.60,52.38,51.71,52.15,55.33,56.40,56.33,56.23,56.10,58.75,62.04,62.73,61.23,64.46,63.81,64.54,62.94,62.42,62.21,63.40
Guyana,40.04,39.04,37.79,38.83,40.75,44.38,46.08,50.46,50.92,53.46,60.67,64.79,67.25,68.60,68.60,65.75,62.92,65.19,63.17,61.94,62.00,61.73,62.10,60.90,57.85,57.69,61.63,63.96,61.58,63.19,62.13,63.52,65.48,68.88,68.17,65.88,64.63,66.40,73.63
Haiti,42.50,44.38,42.08,39.46,33.96,32.92,31.71,34.13,31.04,37.83,38.29,48.08,50.46,50.77,53.00,56.49,56.46,58.50,54.98,51.38,51.85,51.42,54.38,57.02,58.50,52.17,49.60,52.35,59.38,58.98,59.58,58.85,57.15,61.31,61.92,57.48,54.69,55.73,55.52
Honduras,42.21,44.50,44.33,43.67,44.58,45.29,45.79,51.13,54.88,56.42,58.04,58.29,56.54,57.00,64.71,61.34,62.42,65.02,64.60,62.27,62.13,64.71,65.71,66.98,65.46,60.60,64.19,66.65,65.88,65.10,65.19,66.04,67.00,67.42,67.67,67.75,64.75,67.33,67.04
Hong Kong,70.88,73.17,75.88,76.63,74.13,71.83,64.21,67.04,74.21,76.17,79.38,81.13,82.67,82.56,78.38,75.72,79.25,83.40,84.46,82.48,83.56,84.13,85.19,85.54,84.88,80.35,82.08,84.90,81.88,80.42,80.56,80.88,80.75,83.10,82.90,80.85,75.52,76.79,75.33
Hungary,,70.75,68.54,64.83,63.00,64.50,63.29,61.92,68.63,73.83,73.04,73.29,77.50,77.47,77.33,75.88,74.02,75.40,76.85,76.85,75.75,74.94,74.79,73.02,72.19,68.35,69.96,72.67,68.81,69.38,71.96,72.52,75.31,77.65,78.31,77.02,72.52,74.19,71.44
Iceland,79.83,76.88,76.96,81.25,81.25,78.67,78.08,79.08,78.71,79.04,79.42,80.29,82.38,83.94,84.63,82.69,80.13,78.50,79.00,79.65,81.71,84.33,83.33,76.10,74.63,61.52,68.75,69.42,73.15,78.96,79.79,80.96,81.27,81.56,83.81,82.50,78.27,78.21,80.56
India,53.79,53.42,57.04,55.13,51.42,50.08,47.25,43.25,53.88,60.38,67.33,68.38,68.08,69.18,65.19,63.34,63.81,65.00,65.71,67.90,71.60,71.73,71.23,70.67,67.85,69.71,69.75,67.65,65.73,66.21,67.85,69.52,70.69,70.67,70.25,71.00,68.21,71.54,71.31
Indonesia,50.71,53.21,49.58,46.79,46.67,50.08,60.29,68.67,68.04,69.63,69.46,69.96,70.88,68.88,44.98,48.49,56.58,55.30,58.23,60.52,62.15,63.96,67.21,69.44,69.00,67.17,68.10,68.13,66.69,66.29,65.73,64.69,65.75,68.54,68.27,69.21,65.42,66.56,68.73
