Country,Budget_Balanace,Bureaucracy_Quality,CAXGS,Composite,Corruption,CACC,DebtServ,Democratic_Accountability,Ethnic_Tension,Exchange_Rate,External_Conflict,Inflation,International_Liquidity,Law_Order,Military_Politic,Religious_Tension,GDP,Year
Kenya,3.83,2.5,9.25,61.71,2.5,9.96,7.92,5.0,2.5,9.71,9.5,8.5,3.38,3.0,3.5,4.0,25.334989559034163,2020
Kuwait,2.46,2.0,11.5,69.85,2.5,10.46,10.0,3.0,4.5,10.0,10.0,9.75,4.46,4.0,5.0,3.5,25.400877592990646,2020
Lebanon,1.75,2.0,9.88,52.67,1.5,8.0,8.5,4.5,5.0,10.0,7.5,6.38,5.0,3.5,2.0,2.5,24.179965039415908,2020
Liberia,4.88,0.0,6.63,52.4,2.29,5.25,10.0,5.0,3.0,9.0,9.5,6.0,0.0,2.0,3.0,3.5,21.87892815913709,2020
Libya,3.79,1.5,11.75,61.17,1.0,10.42,10.0,2.0,5.0,10.0,8.25,6.0,5.0,4.0,3.0,4.5,24.90818902357977,2020
Sri Lanka,3.92,2.0,11.42,61.38,2.0,10.5,7.83,4.0,3.0,9.79,10.5,8.5,1.0,3.5,3.0,2.0,25.157698694373337,2020
Lithuania,5.0,2.5,12.75,70.58,3.0,13.0,7.5,5.5,4.0,9.96,10.5,9.88,1.0,4.0,5.0,5.5,24.765701880470434,2020
Luxembourg,6.88,4.0,12.5,83.38,5.0,13.13,10.0,6.0,5.0,9.96,11.0,10.0,0.0,6.0,6.0,6.0,25.023260043163308,2020
Latvia,6.0,2.92,12.0,70.19,2.5,10.75,10.0,5.0,2.5,9.96,11.0,9.88,1.5,5.0,5.0,5.0,24.261058132077178,2020
Morocco,4.08,2.0,10.71,65.04,3.0,9.63,9.5,4.5,4.5,10.0,9.38,10.0,3.5,4.0,4.0,4.58,25.521974806221625,2020
Moldova,5.25,1.0,11.38,64.15,2.0,9.13,10.0,4.08,2.0,10.0,9.58,9.38,3.5,4.0,4.0,6.0,23.168282890247472,2020
Madagascar,5.5,2.0,11.5,63.79,1.5,10.5,10.0,4.0,2.5,9.63,11.0,8.38,2.5,2.5,1.0,4.5,23.29216440170148,2020
Mexico,5.75,2.5,12.04,64.94,1.5,11.67,9.0,4.0,3.0,8.08,11.0,9.04,2.5,1.79,3.0,5.5,27.74509275059893,2020
Mali,5.25,0.0,10.75,59.98,2.0,10.25,9.5,3.0,2.5,9.96,8.13,10.0,0.0,3.0,2.29,3.5,23.583487203607973,2020
Malta,4.75,3.0,12.5,74.1,3.0,13.13,10.0,6.0,5.0,9.96,12.0,10.0,1.0,4.71,6.0,5.0,23.44784527757555,2020
Myanmar,5.54,1.0,10.71,63.08,2.0,10.33,10.0,3.08,2.5,9.79,8.5,8.0,2.13,3.0,1.75,3.0,25.092791074307634,2020
Mongolia,6.33,2.5,8.5,62.67,2.5,5.17,5.33,4.25,4.83,9.67,11.5,8.33,1.67,3.5,5.0,5.0,23.31200544344961,2020
Mozambique,4.33,2.0,1.38,51.67,2.0,0.5,9.0,4.0,4.0,8.38,9.38,8.54,2.5,3.0,4.5,6.0,23.378999074218758,2020
Malawi,4.63,2.5,5.88,59.19,2.5,7.38,10.0,4.79,3.5,10.0,10.0,6.38,1.5,3.33,3.5,2.5,23.211604099002393,2020
Malaysia,5.29,3.0,12.5,72.25,2.5,12.13,10.0,4.0,3.5,9.92,10.0,10.0,3.5,4.0,5.0,3.5,26.54470145426389,2020
Namibia,3.5,2.0,11.88,68.56,3.0,11.13,10.0,4.0,4.5,8.04,11.5,9.25,2.38,5.0,6.0,6.0,23.082585505117592,2020
Niger,5.29,1.5,4.75,52.85,1.5,6.92,9.5,3.0,3.0,9.96,9.5,8.75,0.0,2.0,2.0,2.0,23.343915720199153,2020
Nigeria,5.83,1.5,11.25,58.33,1.5,10.79,10.0,4.5,2.0,9.46,9.5,5.88,3.46,2.0,2.0,1.5,26.79215173235282,2020
Nicaragua,5.63,1.0,12.54,61.23,1.5,12.71,10.0,2.46,5.0,10.0,8.96,8.5,0.0,3.0,2.5,5.0,23.263413884470058,2020
Netherlands,5.75,4.0,12.67,78.13,5.0,13.83,9.88,6.0,4.5,9.96,12.0,9.88,0.0,6.0,6.0,4.0,27.536483450985397,2020
Norway,7.75,4.0,12.83,82.71,5.0,12.83,10.0,6.0,4.5,8.96,11.0,10.0,3.5,6.0,6.0,5.5,26.630352134304022,2020
New Zealand,6.33,4.0,11.08,80.5,5.5,10.54,9.5,6.0,3.5,9.63,10.0,10.0,2.58,5.5,6.0,6.0,26.08313695070516,2020
Oman,2.21,2.0,10.5,67.38,3.0,8.75,10.0,2.42,5.0,10.0,10.0,10.0,3.38,5.0,5.0,4.0,25.052806330011418,2020
Pakistan,3.21,2.0,11.17,55.4,2.0,10.83,8.58,4.0,1.0,9.29,8.0,7.54,0.0,3.0,1.5,1.0,26.428466005592696,2020
Panama,4.79,2.0,10.83,70.65,2.0,9.58,9.21,6.0,5.0,10.0,11.0,10.0,1.0,3.0,5.0,5.0,24.767839399887553,2020
Peru,4.08,2.5,11.67,69.88,3.0,10.96,9.5,5.0,3.0,9.67,10.0,9.96,5.0,3.0,4.5,6.0,26.02860695289425,2020
Philippines,5.0,3.0,12.25,71.63,2.5,11.5,9.75,4.71,4.0,10.0,10.5,9.75,4.0,2.5,2.5,3.0,26.614222368870674,2020
Papua New Guinea,5.38,2.0,15.0,64.23,2.29,10.83,10.0,3.0,2.0,10.0,9.5,8.58,4.0,3.0,4.5,5.0,23.894984857351407,2020
Poland,4.17,3.0,12.54,74.42,3.0,12.21,10.0,5.0,6.0,9.79,10.0,9.13,3.04,3.5,6.0,5.0,27.11926628118868,2020
Portugal,5.29,3.0,12.33,74.23,4.0,11.67,8.46,5.96,6.0,9.96,9.5,10.0,1.5,5.0,6.0,5.5,26.157126959734814,2020
Paraguay,5.63,1.5,11.67,65.27,2.0,11.04,10.0,2.0,5.0,9.13,10.5,9.33,3.5,2.38,1.5,6.0,24.290886229186352,2020
Qatar,5.75,2.0,12.13,72.6,3.5,11.38,10.0,2.0,6.0,10.0,7.17,10.0,4.25,5.0,4.0,4.0,25.69593175387993,2020
Romania,4.96,1.0,11.21,68.08,2.5,10.21,9.92,6.0,3.5,9.92,11.0,9.29,3.0,3.5,5.0,5.0,26.250162014386255,2020
Saudi Arabia,2.63,2.0,11.46,71.35,3.5,10.71,10.0,2.04,5.0,10.0,8.13,9.83,5.0,5.0,5.0,3.54,27.322144279607983,2020
Sudan,2.5,1.0,4.63,38.31,0.5,7.88,10.0,3.0,2.0,5.96,8.38,1.38,0.0,2.5,1.0,2.5,24.020383132850387,2020
Senegal,5.38,1.5,10.38,62.29,2.0,9.75,8.0,4.5,3.0,9.96,10.0,9.63,0.0,3.0,2.5,3.0,23.923183609704655,2020
Singapore,5.33,4.0,13.0,81.6,5.0,15.0,10.0,2.0,6.0,9.96,10.5,10.0,4.0,5.0,5.0,4.5,26.579736158041097,2020
Sierra Leone,5.0,0.0,8.75,58.46,3.0,9.0,10.0,4.5,3.5,9.25,10.5,6.0,0.0,3.5,2.5,5.0,22.125164383475003,2020
El Salvador,4.08,2.0,11.71,66.67,2.42,10.46,10.0,5.0,6.0,9.96,10.5,10.0,2.0,2.75,2.5,6.0,23.938984282534523,2020
Somalia,6.5,0.0,11.38,51.15,0.5,9.88,10.0,3.0,2.0,10.0,7.0,8.63,0.0,0.5,1.0,3.0,22.942919261412616,2020
Suriname,3.42,2.0,11.42,59.19,2.08,10.04,10.0,5.0,4.0,7.75,10.0,5.33,1.0,3.0,3.0,6.0,21.792039858022285,2020
Slovenia,5.54,3.5,12.5,71.08,3.5,12.33,10.0,5.0,3.5,9.96,10.0,9.88,0.0,4.5,5.5,5.5,24.707321590031484,2020
Sweden,6.21,4.0,12.83,80.98,5.5,13.21,9.5,6.0,5.0,9.88,11.5,10.0,2.33,5.5,5.5,6.0,27.027813673286815,2020
Togo,5.5,0.0,10.88,61.9,2.0,9.75,10.0,2.5,2.0,9.96,9.5,9.63,0.0,3.0,2.5,5.0,22.724784237471233,2020
Thailand,5.17,2.0,13.17,67.71,2.0,13.63,10.0,2.5,4.0,10.0,10.0,10.0,4.04,2.5,2.0,2.0,26.938797305891292,2020
Tunisia,4.58,2.5,10.5,62.02,3.0,8.96,8.71,5.0,5.0,10.0,10.0,8.29,1.5,5.0,3.5,4.0,24.472577340823314,2020
Tanzania,6.0,1.0,10.0,64.25,2.0,10.46,8.08,3.0,4.0,10.0,9.5,8.92,3.5,4.71,3.5,3.0,24.913961518614162,2020
Uganda,4.38,2.0,8.5,61.73,1.5,9.0,9.5,2.5,3.0,10.0,8.96,8.88,3.5,3.5,2.0,2.5,24.350279680908198,2020
Ukraine,4.71,1.0,11.92,63.17,2.5,11.13,9.5,5.0,4.0,8.79,8.0,8.38,2.13,4.0,5.0,5.0,25.7770737814906,2020
Uruguay,5.46,2.0,11.79,70.33,4.5,11.21,8.96,5.0,6.0,7.25,9.5,7.63,5.0,3.0,3.5,5.0,24.70609461882265,2020
United States,2.75,4.0,10.88,71.79,4.13,10.71,7.83,5.79,5.0,9.71,10.29,10.0,0.0,4.46,4.0,5.5,30.69080507338409,2020
South Africa,2.88,2.0,12.13,64.83,3.0,11.54,10.0,5.0,3.0,8.08,10.5,9.29,3.42,2.38,5.0,5.0,26.547173479440975,2020
Zambia,4.17,1.0,11.42,55.83,2.04,10.42,8.92,4.0,4.17,4.25,10.0,6.38,0.58,4.0,5.0,5.0,23.621262061874617,2020
Zimbabwe,5.5,1.5,11.25,51.38,1.0,10.38,9.5,2.0,4.0,10.0,10.17,0.0,0.0,3.0,2.0,5.0,23.79176975902648,2020
Angola,7.46,1.5,12.13,58.69,2.0,11.5,8.08,3.0,3.0,8.54,10.5,4.46,1.5,2.5,2.5,4.0,24.92054492430541,2021
Albania,5.0,2.0,10.38,67.81,2.21,8.96,9.0,4.0,4.5,9.96,10.13,9.5,3.5,2.58,5.0,5.0,23.60977264212687,2021
Argentina,4.67,3.0,12.96,65.08,2.21,12.46,9.71,4.0,6.0,5.21,10.0,2.83,4.0,2.0,4.5,6.0,26.913381575663198,2021
Armenia,5.63,1.0,11.25,64.08,2.0,9.75,9.5,4.29,4.54,9.63,7.75,8.96,2.83,3.5,3.08,4.5,23.35363615989458,2021
Australia,4.0,4.0,12.75,80.02,4.5,12.25,9.0,6.0,3.5,9.58,10.5,9.75,1.5,5.5,6.0,6.0,28.07508735829391,2021
Austria,4.17,4.0,12.5,78.44,4.5,12.92,10.0,6.0,4.0,9.92,11.5,9.83,1.0,6.0,6.0,5.0,26.89558286801209,2021
Azerbaijan,6.08,1.0,12.88,71.06,1.5,13.21,9.71,1.5,4.5,10.0,8.38,8.79,3.5,3.5,3.0,4.0,24.72741964175031,2021
Belgium,3.96,4.0,12.33,75.98,4.5,11.67,10.0,6.0,3.0,9.92,11.5,9.96,0.33,5.0,6.0,4.5,27.121701792499618,2021
Burkina Faso,5.13,1.0,10.5,61.65,2.5,10.0,10.0,5.0,3.5,9.92,9.0,9.38,0.0,3.5,2.0,3.5,23.700995371969054,2021
Bangladesh,4.54,2.17,11.96,66.83,2.5,11.46,10.0,4.0,2.5,10.0,8.96,8.5,3.83,2.0,2.5,2.88,26.754603881699516,2021
Bulgaria,5.88,2.0,12.38,74.29,2.75,12.63,10.0,5.5,4.5,9.92,10.0,9.63,4.0,3.0,5.0,5.0,25.154576478301603,2021
Bahrain,1.67,2.5,11.54,63.46,2.92,9.13,10.0,3.0,4.0,10.0,10.0,9.54,1.5,4.5,3.0,3.0,24.394202024506644,2021
Belarus,6.33,1.5,11.92,64.17,1.67,11.33,9.5,1.0,5.0,9.63,8.21,8.5,1.5,3.04,3.0,5.0,24.967089428550597,2021
Bolivia,3.13,2.5,11.5,64.48,1.71,10.75,9.38,3.0,3.0,10.0,9.58,9.25,2.75,2.0,2.5,6.0,24.422246890006534,2021
Brazil,3.75,2.5,11.75,69.54,2.0,11.25,8.0,5.0,3.0,9.54,10.5,8.5,5.0,2.58,3.5,6.0,28.14423233132752,2021
Botswana,5.25,2.5,11.75,74.44,3.25,10.5,10.0,4.0,4.5,9.92,11.0,9.0,4.0,3.5,5.0,5.0,23.65451007342941,2021
Canada,3.42,4.0,9.92,79.88,4.5,10.92,10.0,6.0,3.5,9.88,11.0,9.42,1.5,5.5,6.0,6.0,28.327897425368278,2021
Switzerland,5.75,4.0,13.25,86.81,5.0,14.25,10.0,6.0,4.0,9.92,10.5,10.0,5.0,5.0,6.0,4.5,27.424499633437772,2021
Chile,4.5,3.0,12.25,74.4,3.71,11.75,10.0,5.33,5.0,9.5,10.0,9.25,3.5,4.0,4.5,6.0,26.47747210840872,2021
China,5.21,2.0,13.67,72.46,2.0,12.92,10.0,1.08,3.13,10.0,7.63,9.67,5.0,3.0,2.5,3.5,30.51136832376963,2021
Cote d'Ivoire,5.29,0.0,10.83,61.38,2.04,10.33,8.17,3.92,2.25,9.92,10.0,9.67,0.13,2.5,2.5,2.25,25.010908117096918,2021
Cameroon,5.75,1.5,10.08,59.25,1.5,10.04,9.0,2.0,2.5,9.92,9.5,9.5,2.58,2.0,2.5,3.5,24.5297843557771,2021
Colombia,3.5,2.0,10.25,62.69,2.21,10.0,8.5,4.5,5.0,9.79,9.0,9.25,4.5,2.0,2.5,5.0,26.486965650334955,2021
Costa Rica,3.92,2.0,11.42,71.33,2.5,10.42,9.83,5.5,6.0,9.58,9.5,10.0,3.5,2.5,6.0,5.0,24.897048704754,2021
Cyprus,7.17,4.0,11.5,70.96,3.21,8.33,10.0,6.0,2.5,9.92,9.0,10.0,0.83,5.0,5.0,4.0,24.10707670655619,2021
Germany,5.42,4.0,13.46,82.98,5.0,13.96,9.5,6.0,4.0,9.92,10.0,9.79,0.0,5.0,6.0,5.0,29.08462451644646,2021
Denmark,6.42,4.0,13.5,84.23,6.0,14.21,10.0,6.0,4.0,9.92,10.5,9.92,3.5,6.0,6.0,5.5,26.728850225387017,2021
Dominican Republic,4.88,1.0,11.5,70.9,1.71,10.5,9.5,4.5,5.0,9.88,10.0,8.29,3.33,3.0,3.0,5.0,25.26914690952471,2021
Algeria,2.38,2.0,8.5,60.83,1.71,8.5,10.0,3.38,3.0,9.63,8.71,8.75,4.38,3.0,2.0,3.0,25.95043847505185,2021
Ecuador,5.38,2.42,13.25,65.42,2.46,12.79,7.38,3.92,3.42,9.92,9.5,10.0,1.83,3.0,1.5,5.0,25.400152790578982,2021
Spain,3.42,3.0,12.5,73.13,3.5,12.25,9.5,6.0,4.0,9.92,10.5,9.79,1.5,5.0,5.0,4.5,27.99958130718861,2021
Estonia,4.17,2.5,12.0,68.19,4.0,10.58,9.5,5.5,2.5,9.92,10.5,9.92,0.08,4.0,5.0,5.0,24.330522800042743,2021
Ethiopia,6.0,2.0,9.38,57.29,2.25,10.38,9.0,3.0,2.5,6.13,8.21,6.38,0.0,4.5,2.0,3.5,25.43515256539809,2021
Finland,5.5,4.0,11.88,80.54,5.5,11.0,10.0,6.0,6.0,9.92,11.5,10.0,1.0,6.0,6.0,6.0,26.415213276663685,2021
France,3.58,3.5,12.0,73.52,4.0,11.0,7.5,6.0,3.0,9.92,9.96,10.0,0.17,5.0,5.0,4.0,28.71599273192135,2021
Gabon,5.83,2.0,10.33,63.35,2.0,9.08,9.0,3.0,4.5,9.92,9.96,9.29,1.54,3.0,2.0,5.0,23.729836508351184,2021
United Kingdom,1.79,4.0,11.21,77.42,5.0,10.21,9.5,6.0,4.0,9.83,9.5,10.0,1.79,5.0,6.0,6.0,28.77572346855789,2021
Ghana,3.58,2.5,11.25,68.71,3.0,10.46,9.0,5.0,3.5,9.92,10.5,7.5,2.92,2.5,3.0,6.0,25.099330004656096,2021
Guinea,6.21,2.0,8.63,57.83,1.5,7.04,10.0,2.83,2.0,9.79,8.83,7.42,1.42,2.0,0.5,3.0,23.501576771191846,2021
Greece,4.92,3.0,11.25,69.75,2.5,10.25,5.5,6.0,5.0,9.92,9.92,10.0,1.46,4.5,5.0,5.0,26.092357588535627,2021
Guatemala,5.63,2.5,13.5,70.08,1.71,13.25,9.5,4.0,3.0,10.0,9.5,8.92,3.79,3.0,3.96,6.0,25.178230192500934,2021
Guyana,4.5,3.0,9.25,66.4,2.5,7.75,10.0,4.5,2.0,10.0,8.5,9.38,1.5,1.5,4.0,6.0,22.807864322493337,2021
Honduras,6.21,2.0,12.0,67.33,1.71,10.5,10.0,4.04,5.0,10.0,10.0,8.79,3.46,2.5,2.5,5.0,24.060611803816773,2021
Croatia,4.67,3.0,11.54,70.08,3.0,10.54,9.0,5.5,4.0,9.96,10.0,9.96,4.0,4.5,5.0,5.0,24.966061529542003,2021
Haiti,5.54,0.0,12.0,55.73,1.21,10.88,10.0,3.08,5.0,6.92,9.0,5.04,3.0,1.5,0.0,6.0,23.76193378734607,2021
Hungary,4.42,3.0,12.25,74.19,2.71,11.67,8.75,5.0,4.0,9.83,10.0,9.08,1.75,4.0,6.0,5.46,25.927876734186043,2021
Indonesia,4.29,2.5,11.79,66.56,2.75,11.29,9.5,4.5,2.0,9.96,9.83,8.79,4.0,2.5,2.25,1.5,27.802037080582156,2021
India,4.04,3.0,11.83,71.54,2.5,11.33,10.0,6.0,2.5,10.0,8.46,8.5,4.67,4.5,4.0,2.5,28.78389133081649,2021
Ireland,5.13,4.0,12.5,80.52,4.5,13.13,8.63,6.0,5.5,9.92,11.5,9.88,0.0,6.0,6.0,5.0,26.964305092171603,2021
Iraq,2.17,1.5,11.08,57.44,2.0,9.71,10.0,4.13,2.5,6.29,9.58,8.83,4.13,1.5,1.5,1.5,26.068905365500076,2021
Iceland,4.42,4.0,12.5,78.21,4.5,12.96,8.5,6.0,5.5,9.92,10.5,9.46,4.5,6.0,6.0,6.0,23.973557805480503,2021
Israel,3.17,4.0,13.5,74.5,3.0,13.17,10.0,6.0,2.0,10.0,7.42,10.0,5.0,5.0,2.5,2.5,26.91465964856772,2021
Italy,2.5,2.5,13.13,75.1,3.0,13.0,8.5,5.5,4.5,9.92,11.0,10.0,2.38,4.0,6.0,5.5,28.398754062290795,2021
Jamaica,6.67,3.0,12.0,69.98,2.5,10.5,8.29,4.38,5.0,9.54,11.5,8.5,3.04,2.83,5.0,6.0,23.40822386496593,2021
Jordan,4.63,2.0,10.96,61.88,2.63,9.92,9.0,3.0,3.5,10.0,9.0,9.96,3.58,3.5,3.5,4.0,24.558323564271706,2021
Japan,2.71,4.0,13.67,79.5,4.0,13.0,10.0,5.0,5.5,9.71,9.5,10.0,5.0,5.0,5.0,5.5,29.247359323390793,2021
Kenya,3.5,2.5,9.25,64.0,2.5,10.0,7.75,5.0,2.5,9.92,9.5,8.5,3.0,3.21,3.5,4.0,25.421048557408785,2021
Kuwait,0.75,2.0,12.75,72.02,2.5,13.75,10.0,3.0,4.5,10.0,10.0,9.5,4.5,4.0,5.0,3.5,25.67752315095231,2021
Lebanon,1.5,2.0,9.88,50.25,1.5,7.79,8.5,4.25,5.0,10.0,7.67,5.13,5.0,3.0,2.0,2.5,23.86448025072978,2021
Liberia,5.04,0.0,7.08,54.4,2.25,6.0,10.0,5.0,3.0,9.21,9.5,6.67,0.13,2.0,3.0,3.5,21.979750306344812,2021
Libya,5.88,1.5,11.79,61.46,1.0,11.33,10.0,2.79,5.0,0.0,9.0,5.54,5.0,4.0,3.0,4.5,24.590015059662992,2021
Sri Lanka,2.96,2.0,11.33,61.13,2.0,10.5,7.5,4.0,3.0,9.46,10.79,8.5,0.25,3.5,3.0,2.0,25.207503024929565,2021
Lithuania,4.25,2.5,12.96,70.25,3.0,13.46,7.54,5.5,4.0,9.92,10.33,9.96,1.0,4.0,5.0,5.5,24.924952956070765,2021
Luxembourg,6.71,4.0,12.5,84.27,5.0,13.21,10.0,6.0,5.0,9.92,11.0,10.0,0.0,6.0,6.0,6.0,25.17276542521223,2021
Latvia,5.5,3.0,12.0,68.94,2.5,10.58,10.0,5.0,2.5,9.92,11.0,9.92,1.5,5.0,5.0,5.0,24.39812562759726,2021
Morocco,4.0,2.0,11.25,67.44,3.0,10.25,9.5,4.67,4.5,10.0,8.79,10.0,3.75,4.0,4.0,4.5,25.67780895151496,2021
Moldova,5.0,1.0,11.25,65.92,2.04,9.25,10.0,4.5,2.0,9.88,10.0,9.25,3.5,4.0,4.0,6.0,23.34006800922516,2021
Madagascar,5.42,2.0,11.46,63.52,1.5,10.46,10.0,4.0,2.5,10.0,11.0,8.46,2.46,2.5,1.0,4.5,23.401183520599908,2021
Mexico,5.75,2.5,12.5,70.0,1.5,12.5,9.0,4.0,3.0,9.83,11.0,8.75,2.5,1.5,3.0,5.5,27.90338884311004,2021
Mali,5.0,0.0,11.0,59.63,2.0,10.25,9.5,2.5,2.5,9.92,8.29,9.75,0.0,3.0,2.0,3.5,23.683861149885274,2021
Malta,2.71,3.0,12.5,74.56,2.71,12.21,10.0,6.0,5.0,9.92,12.0,10.0,1.0,5.0,6.0,5.0,23.620487356381044,2021
Myanmar,3.88,1.0,10.88,56.08,1.75,10.5,8.5,3.04,2.5,7.0,8.04,8.38,2.88,3.0,1.54,3.0,24.918138625502593,2021
Mongolia,5.21,2.5,9.25,62.71,2.08,6.13,5.29,4.29,4.5,10.0,11.5,8.5,2.38,3.5,5.0,5.0,23.45023211153539,2021
Mozambique,4.29,2.0,0.0,50.48,2.0,0.0,9.0,4.0,3.71,9.21,9.0,8.5,2.79,3.0,4.5,5.42,23.506303248207416,2021
Malawi,4.33,2.5,4.67,58.04,3.0,6.63,10.0,5.0,3.5,9.33,10.0,6.17,1.5,3.5,3.5,2.5,23.2554473771236,2021
Malaysia,4.17,3.0,12.79,71.94,2.5,13.0,10.0,3.5,3.5,10.0,10.0,9.67,3.5,4.0,4.5,3.5,26.647073480627384,2021
Namibia,2.54,2.0,12.0,68.44,3.0,11.5,10.0,4.0,4.5,9.54,11.5,9.46,2.58,5.0,6.0,6.0,23.24116278814084,2021
Niger,5.5,1.96,8.08,57.46,1.5,9.25,8.67,4.33,3.0,9.92,9.5,9.33,0.0,2.0,2.04,2.0,23.425633418243248,2021
Nigeria,5.13,1.5,11.25,59.15,1.5,10.5,10.0,4.5,2.0,9.42,9.5,6.13,2.88,2.0,2.0,1.5,26.81194554865081,2021
Nicaragua,5.79,1.0,12.75,63.17,1.21,13.25,10.0,2.0,5.0,10.0,8.88,8.5,1.75,2.42,2.29,5.0,23.37256111910692,2021
Netherlands,5.29,4.0,12.83,80.04,5.0,14.13,9.79,6.0,4.5,9.92,12.0,9.88,0.33,6.0,6.0,4.0,27.660267576512474,2021
Norway,6.5,4.0,12.96,84.31,5.0,13.29,10.0,6.0,4.5,9.71,11.0,9.63,3.54,6.0,6.0,5.5,26.944587322135217,2021
New Zealand,4.0,4.0,11.67,80.02,5.5,10.67,9.5,6.0,3.5,9.67,10.0,9.75,2.33,5.5,6.0,6.0,26.259197860592014,2021
Oman,4.5,2.0,11.0,70.33,3.0,9.5,10.0,2.5,5.0,10.0,10.0,9.5,3.5,5.0,5.0,4.0,25.202781836334697,2021
Pakistan,4.33,2.0,11.5,56.98,2.0,11.0,8.92,3.79,1.0,9.71,8.0,8.08,0.33,3.0,1.5,1.0,26.576951834858743,2021
Panama,3.83,2.0,11.08,70.42,2.0,9.88,9.04,6.0,5.0,10.0,11.0,10.0,1.13,3.0,5.0,5.0,24.934010821677912,2021
Peru,4.79,2.5,12.42,71.27,2.54,11.88,9.5,5.0,3.0,8.71,10.0,9.58,5.0,3.0,3.92,6.0,26.145367211824418,2021
Philippines,3.25,3.0,11.75,71.23,2.5,10.75,9.5,4.5,4.0,9.92,10.17,9.0,5.0,2.5,2.5,3.0,26.699838447169697,2021
Papua New Guinea,4.33,2.0,15.0,66.52,2.5,15.0,10.0,3.0,2.0,10.0,9.5,8.71,3.67,3.0,4.5,5.0,23.985711872950755,2021
Poland,4.75,3.0,12.25,76.4,2.71,12.17,10.0,4.79,6.0,9.83,9.83,9.08,3.5,3.5,6.0,5.0,27.247336204331962,2021
Portugal,5.08,3.0,12.0,75.63,4.0,11.29,8.33,6.0,6.0,9.92,9.5,10.0,1.83,5.0,6.0,5.5,26.266624595047325,2021
Paraguay,5.25,1.5,12.33,67.92,2.0,12.17,10.0,2.0,5.0,9.96,10.5,9.0,3.75,2.5,1.5,6.0,24.410917035531963,2021
Qatar,5.38,2.0,12.08,71.94,3.5,11.17,10.0,2.0,6.0,10.0,7.5,9.96,4.5,5.0,4.0,4.0,25.91473274264401,2021
Romania,4.0,1.0,11.04,71.0,2.5,10.04,10.0,6.0,3.5,9.92,11.0,9.08,3.46,3.5,5.0,5.0,26.378593946803026,2021
Saudi Arabia,4.71,2.42,12.21,75.81,3.5,11.88,10.0,2.5,5.0,10.0,8.46,9.29,5.0,5.0,5.0,4.0,27.49652468637707,2021
Sudan,4.75,1.0,5.5,37.35,0.5,8.0,9.0,2.88,2.0,0.83,7.17,0.0,0.0,2.0,1.0,2.5,24.256354084742384,2021
Senegal,5.0,1.54,10.42,61.58,2.04,9.92,7.96,4.5,3.0,9.92,10.0,9.5,0.08,3.0,2.5,3.0,24.03820734269251,2021
Singapore,3.75,4.0,13.0,82.46,5.0,15.0,10.0,2.0,6.0,10.0,10.5,9.88,4.25,5.0,5.0,4.5,26.796567387054193,2021
Sierra Leone,5.33,0.0,7.67,58.25,3.0,8.33,10.0,4.5,3.5,9.83,10.5,5.67,0.0,3.13,2.5,5.0,22.170004734025582,2021
El Salvador,3.13,2.0,11.5,66.73,2.0,10.5,9.25,4.5,6.0,9.92,10.29,9.75,2.0,2.67,2.5,6.0,24.092048147779497,2021
Somalia,6.58,0.0,11.42,50.1,0.5,9.83,10.0,2.54,2.0,10.0,7.0,8.5,0.0,0.5,1.0,3.0,23.0095905973087,2021
Suriname,2.58,2.0,11.83,55.08,2.0,10.83,9.17,5.0,4.0,1.42,10.0,2.75,1.0,3.0,3.0,6.0,21.848650436210555,2021
Slovenia,4.42,3.5,12.5,68.83,3.21,12.04,10.0,4.67,3.5,9.92,10.0,9.96,0.0,4.5,5.5,5.5,24.84769012628488,2021
Sweden,6.42,4.0,12.96,84.17,5.5,13.46,9.5,6.0,5.0,9.63,11.5,10.0,2.5,5.33,5.5,6.0,27.184288532947033,2021
Togo,5.5,0.0,11.04,62.25,2.0,10.04,10.0,2.5,2.0,9.92,9.5,9.5,0.0,3.0,2.5,5.0,22.844598039432547,2021
Thailand,4.42,2.0,12.92,66.94,2.0,13.08,10.0,2.5,4.0,9.67,10.0,10.0,4.46,2.5,2.0,2.0,26.95030928352654,2021
Tunisia,2.63,2.5,11.0,60.79,2.71,9.29,8.5,4.63,5.0,9.92,10.0,8.5,1.5,4.5,3.5,4.0,24.56941161529458,2021
Tanzania,5.96,1.0,9.96,64.33,2.0,10.46,7.96,3.0,4.0,10.0,9.5,9.0,3.5,4.5,3.5,3.0,24.981083605294707,2021
Uganda,3.92,2.0,8.79,60.5,1.5,9.0,9.5,2.5,3.0,10.0,8.63,8.71,3.5,3.46,2.0,2.5,24.425303065237973,2021
Ukraine,4.88,1.0,12.25,66.25,2.5,11.63,9.5,5.0,4.0,9.83,8.0,8.13,2.13,4.0,5.0,5.0,26.020411815542065,2021
Uruguay,5.58,2.0,11.71,72.88,4.5,10.88,8.54,5.0,6.0,9.88,9.5,7.54,5.0,3.0,3.5,5.0,24.830210658029735,2021
United States,2.13,4.0,10.5,72.63,4.0,10.5,6.25,5.5,4.96,9.29,10.5,9.38,0.0,4.0,4.0,5.5,30.7920148722407,2021
South Africa,2.42,2.0,11.92,68.25,2.79,11.33,9.83,5.0,3.0,9.54,10.5,8.79,3.5,2.5,5.0,5.0,26.763801014760933,2021
