Country,Budget_Balanace,Bureaucracy_Quality,CAXGS,Composite,Corruption,CACC,DebtServ,Democratic_Accountability,Ethnic_Tension,Exchange_Rate,External_Conflict,Inflation,International_Liquidity,Law_Order,Military_Politic,Religious_Tension,GDP
Cuba,5.0,2.17,12.79,70.15,3.0,12.29,9.0,2.0,6.0,10.0,10.21,8.5,3.5,3.0,2.0,4.0,103427600000.0
Cyprus,9.0,4.0,11.5,75.44,3.5,9.25,10.0,6.0,2.5,9.75,9.0,10.0,0.75,5.0,5.0,4.0,25947020102.4332
Germany,8.08,4.0,13.42,83.25,5.0,14.0,9.58,6.0,4.0,9.75,10.5,9.92,0.0,5.0,6.0,5.0,3889177589254.9
Denmark,8.0,4.0,13.5,84.21,5.5,14.0,10.0,6.0,4.0,9.75,10.5,10.0,3.5,6.0,6.0,5.5,346498737961.635
Dominican Republic,6.29,1.0,12.0,72.88,2.0,11.04,9.33,4.5,5.0,9.92,10.0,9.5,2.0,3.0,3.0,5.0,88941372558.2397
Algeria,3.63,2.0,8.88,63.4,2.0,8.88,10.0,3.29,3.0,10.0,9.08,8.75,5.0,3.0,2.29,2.5,193459662090.677
Ecuador,6.83,2.0,12.0,65.77,2.46,11.5,7.71,3.46,3.42,9.75,9.5,10.0,1.0,2.75,1.5,5.0,107595829000.0
Spain,6.75,3.0,12.5,75.9,3.5,12.04,9.46,6.0,4.0,9.75,10.5,9.96,1.04,5.0,5.0,4.5,1394320055129.41
Estonia,7.5,2.5,12.5,75.35,4.0,12.58,9.71,5.5,2.5,9.75,11.0,9.21,0.0,4.0,5.0,5.0,31290453293.545
Ethiopia,6.04,1.88,8.04,61.04,2.13,9.5,9.0,2.88,2.5,9.67,9.04,6.46,0.5,4.5,2.0,3.96,95912607722.3032
Finland,7.5,4.0,12.13,81.52,5.5,11.63,10.0,6.0,6.0,9.75,11.5,10.0,0.63,6.0,6.0,6.0,268514916972.549
France,6.08,3.0,12.0,74.21,4.0,11.29,7.5,6.0,2.5,9.75,10.0,10.0,0.0,5.0,5.0,4.0,2728870246705.88
